"StockNo","xVIN","categorie","xAirCleaners","xAirHorns","xAirSeatDriver","xAirSeatPassenger","xAppraisalACV","xAppraisalReference","xAPU","xAtmtcTrctnCntrl","xBlockHeater","xBodyStyle","xBranch","xBranchOrdered","xBuildDate","xBunk","xCA","xCabConfiguration","xCBRadio","xChassisCost","xChromeBumper","xColorExterior","xColorExteriorCode","xCondition","xCustomerID","xCustomerName","xCustStock","xCylinders","xDateInService","xDateReceived","xDaysOnHand","xDepartment","xDriveLine","xDriverSeat","xEngineBrake","xEngineHours","xEngineHP","xEngineManufacturer","xEngineModel","xEngineSN","xEngineTorque","xEstDelMo","xExhaust","xExpectedArrival","xFactoryFET","xFactoryWarranty","xFifthWheel","xFleetVehicleID","xFlooring","xFlooringDate","xFontWheels","xFrame","xFrntAxlMnfctrr","xFrontAxleModel","xFrontAxleSN","xFrontAxleWeight","xFrontBreaks","xFrontSuspension","xFrontTires","xFuelType","xGVWR","xHeatedMirrors","xInteriorClass","xInteriorColor","xInteriorColorCode","xInternalComments","xInventoryCost","xInvoice","xInvoiceDate","xKeyCode1","xKeyCode2","xLeftFuelTank","xLiftAxle","xLiftAxleWeight","xLockers","xLotLocation","xMake","xMiscEquipment","xModel","xOdometer","xOdometerKM_Miles","xOH","xOnHoldFor","xOrderDate","xOurPrice","xPassengerSeat","xPODate","xPONum","xPowerLocks","xPrePaidFreight","xPreviousOwner","xProductClass","xRearAxleFrontModel","xRearAxleFrontSN","xRearAxleRatio","xRearAxleRearModel","xRearAxleRearSN","xRearAxleWeight","xRearBreaks","xRearTires","xRearWheels","xRefrigerator","xRightFuelTank","xRrAxlFrntMnfctrr","xRrAxlRrMnfctrr","xSalesmanOrdered","xSatelliteRadio","xScheduleDate","xSellingStatus","xSleeper","xSleeperType","xSoldDate","xSpeeds","xStatus","xStereo","xSuspensionType","xThumbnail","xTrailerLength","xTrailerType","xTrailerWidth","xTransmission","xTransmissionModel","xTransmissionSN","xTRLAxleType","xTrnsmssnMnfctrr","xType","xVehicleType","xWebComments","xWheelbase","xYear","web_link","Photos"
"CO7485","1FDFE4FN9MDCO7485","BUS","","","","","","","","","","","WPG-Transolutions Truck Centres Ltd.","","","","","","","","","","","Used","P153","INT NEW TRUCK MD INVENTORY","","","","","","New","","","","","","","","","","","","","","","","CO7485","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","FORD","","Diamond","","Kilometers","","","","0.000000000","","","","","","","Units","","","","","","","","","","","","","","","","","Available","","","","","Available - In Stock","","","","","","","","","","","","Bus","New Bus","","","2021","",""
"CO7486","1FDFE4FN0MDCO7486","BUS","","","","","","","","","","","WPG-Transolutions Truck Centres Ltd.","","","","","","","","","","","Used","P153","INT NEW TRUCK MD INVENTORY","","","","","","New","","","","","","","","","","","","","","","","CO7486","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","FORD","","Diamond","","Kilometers","","","","0.000000000","","","","","","","Units","","","","","","","","","","","","","","","","","Available","","","","","Available - In Stock","","","","","","","","","","","","Bus","New Bus","","","2021","",""
"LT408021","3H3F532CXLT408021","TLR","","","","","","","","","","","WPG-Transolutions Truck Centres Ltd.","","","","","","","","","","","New","P78","INT NEW TRAILER INVENTORY","","","","","","New","","","","","","","","","","","","","","","","LT408021","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","HYUNDAI","","FLATBED","","Kilometers","","","","0.000000000","","","","","","","Units","","","","","","","","","Steel","","","","","","","","Available","","","","","Available - In Stock","","Hendrickson Air Ride","","53'","","","","","","","","Trailer","New Trailers","","0","2020","",""
"LT408022","3H3F532C1LT408022","TLR","","","","","","","","","","","WPG-Transolutions Truck Centres Ltd.","","","","","","","","","","","New","P78","INT NEW TRAILER INVENTORY","","","","","","New","","","","","","","","","","","","","","","","LT408022","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","HYUNDAI","","FLATBED","","Kilometers","","","","0.000000000","","","","","","","Units","","","","","","","","","Steel","","","","","","","","Available","","","","","Available - In Stock","","Hendrickson Air Ride","","53'","","","","","","","","Trailer","New Trailers","","0","2020","",""
"988894A","1XKYDP9X4HJ988894","TRK","","","","","","","","","","","WPG-Transolutions Truck Centres Ltd.","","","","","","","","","WHITE/RED","","Used","P50","INT USED TRUCK INVENTORY","","","","3/24/2021 12:00:00 AM","19","Used","","","","","455","Pacar","MX13","","1650","","SINGLE HORIZONTAL","","","","","988894A","","","","","","","","13200","","","11R22.5 ALUMINUM RIMS","","0","","","","","","","","","","","100 GALLON","","","","Bergen","KENWORTH","","T680","1106467.0","Kilometers","","","","0.000000000","","","","","","","Units","","","3.70","","","40000","","11R22.5 ALUMINUM RIMS","","","100 GALLON","","","","","","Available","76RR","","","","Available - In Stock","","","","","","","","Ultra Shift Auto","","","Eaton","Truck","Used Truck","","226","2017","",""
"JD6035A","3AKJGLDRXHSJD6035","TRK","","","","","","","","","","","WPG-Transolutions Truck Centres Ltd.","","","","","","","","","WHITE","","Used","P50","INT USED TRUCK INVENTORY","","","","3/24/2021 12:00:00 AM","19","Used","","","","","505","Detroit","DD15","","1650","","","","","","","JD6035A","","","","","","","","13300","","","11R22.5","","0","","","","","","","","","","","140 GALLON","","","","Bergen","FREIGHTLINER","","CA125","803163.0","Kilometers","","","","0.000000000","","","","","","","Units","","","3.42","","","40000","","11R22.5","","","140 GALLON","","","","","","Available","72RR","","","","Available - In Stock","","","","","","","","RTLO-16913A","","","Eaton","Truck","Used Truck","","240","2017","",""
"LT408013","3H3F532C0LT408013","TLR","","","","","","","","","","","WPG-Transolutions Truck Centres Ltd.","","","","","","","","","","","New","P78","INT NEW TRAILER INVENTORY","","","","","","New","","","","","","","","","","","","","","","","LT408013","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","HYUNDAI","","FLATBED","","Kilometers","","","","0.000000000","","","","","","","Units","","","","","","","","","Steel","","","","","","","","Available","","","","","Available - In Stock","","Hendrickson Air Ride","","53'","","","","","","","","Trailer","New Trailers","","0","2020","",""
"LT408019","3H3F532C1LT408019","TLR","","","","","","","","","","","WPG-Transolutions Truck Centres Ltd.","","","","","","","","","n/a","","New","P78","INT NEW TRAILER INVENTORY","","","","","","New","","","","","n/a","n/a","n/a","","","","","","","","","LT408019","","","","","","","","n/a","","","","","0","","","","","","","","","","","","","","","","HYUNDAI","","FLATBED","","Kilometers","","","","0.000000000","","","","","","","Units","","","n/a","","","n/a","","","Steel","","","","","","","","Available","n/a","","","","Available - In Stock","","Hendrickson Air Ride","","53'","","","","n/a","","","n/a","Trailer","New Trailers","","n/a","2020","",""
"LT408020","3H3F532C8LT408020","TLR","","","","","","","","","","","WPG-Transolutions Truck Centres Ltd.","","","","","","","","","","","New","P78","INT NEW TRAILER INVENTORY","","","","","","New","","","","","","","","","","","","","","","","LT408020","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","HYUNDAI","","FLATBED","","Kilometers","","","","0.000000000","","","","","","","Units","","","","","","","","","Steel","","","","","","","","Available","","","","","Available - In Stock","","Hendrickson Air Ride","","53'","","","","","","","","Trailer","New Trailers","","0","2020","",""
"988925A","1XKYDP9X3JJ988925","TRK","","","","","","","","","","","WPG-Transolutions Truck Centres Ltd.","","","","","","","","","RED/WHITE","","Used","P50","INT USED TRUCK INVENTORY","","","","3/18/2021 12:00:00 AM","25","Used","","","","","455","Pacar","MX13","","1750","","SINGLE HORIZONTAL","","","","","988925A","","","","","","","","13200","","","11R22.5 ALUMINUM","","0","","","","","","","","","","","100 Gallon","","","","Bergen","KENWORTH","","T680","1005144.0","Kilometers","","","","0.000000000","","","","","","","Units","","","2.85","","","40000","","11R22.5 ALUMINUM","","","100 Gallon","","","","","","Available","76RR","","","","Available - In Stock","","","","","","","","10 Speed Auto Ultra Shift","","","Eaton","Truck","Used Truck","","226","2018","",""
